id,skos:notation,skos:prefLabel,nypl:deliverableTo,nypl:eddRequestable,nypl:owner
SA,SA,Schomburg Art & Artifacts,,false,0001
SM,SM,Schomburg MIRS,,false,0001
SP,SP,Schomburg Prints & Photographs,,false,0001
SR,SR,Schomburg Center - Research and Reference Division,,false,0001
SW,SW,Social Work Library,,false,0002
TZ,TZ,TOZZER LIBRARY,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OE;OL;OM;ON;OP;OW;OZ,true,0004
UA,UA,UA,,false,0002
UT,UT,Burke Library (UTS),,true,0002
WL,WL,WOLBACH LIBRARY,ND;NG;NH;NJ;NM;NP;SR;OA;OC;OE;OD;ON;OW,true,0004
XL,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
YL,,,ID;NC;ND;NE;NF;NG;NH;NI;NJ;NK;NM;NP;NZ;SR;OA;OC;OD;OM;ON;OP;OW;OZ,,
